agent_id,agent_name,team,hire_date,specialization,efficiency_rating
AGT00001,John Martinez,Benefits,2021-11-01 18:24:23.940947,Prior Auth,4.874576186538882
AGT00002,Lisa Miller,Claims,2022-01-19 12:08:07.940947,General Inquiry,3.8650373873254287
AGT00003,Robert Johnson,Benefits,2021-04-12 22:34:48.940947,Prior Auth,4.581349352417023
AGT00004,Michael Garcia,General Support,2021-09-25 19:42:09.940947,Claims Denials,4.708672886547031
AGT00005,Maria Miller,Provider Network,2025-06-21 17:05:37.940947,Provider Search,4.131892957162133
AGT00006,Emily Brown,General Support,2024-08-16 23:44:43.940947,Claims Denials,4.115217368994099
AGT00007,James Williams,General Support,2025-04-13 21:26:24.940947,Prior Auth,4.248268496651482
AGT00008,David Smith,Authorization,2025-03-03 14:18:41.940947,Claims Denials,4.41956035969104
AGT00009,Emily Smith,Provider Network,2024-10-30 12:57:59.940947,ID Cards,4.803128808617608
AGT00010,Sarah Jones,Claims,2022-12-05 18:51:14.940947,Benefits Verification,3.657121382019452
AGT00011,David Miller,Provider Network,2023-07-24 16:46:05.940947,Claims Denials,4.183846878354354
AGT00012,Lisa Johnson,Claims,2025-04-22 03:10:10.940947,General Inquiry,4.950896448191845
AGT00013,Lisa Jones,Authorization,2022-11-20 08:49:14.940947,General Inquiry,4.64225286172522
AGT00014,Robert Johnson,General Support,2023-04-17 04:47:14.940947,ID Cards,3.9682549601851487
AGT00015,Michael Jones,Benefits,2025-06-16 18:30:22.940947,ID Cards,4.1744894144986855
AGT00016,Jane Smith,Claims,2022-07-29 00:18:46.940947,Provider Search,4.73618414391256
AGT00017,Michael Brown,Claims,2023-03-02 03:25:38.940947,Claims Denials,4.331344225692136
AGT00018,Robert Rodriguez,Provider Network,2024-06-28 00:27:21.940947,General Inquiry,3.5289536988480292
AGT00019,Emily Smith,Provider Network,2025-06-25 16:44:26.940947,Benefits Verification,4.194204120829433
AGT00020,David Rodriguez,Claims,2022-09-08 11:59:32.940947,ID Cards,3.9443492631485304
AGT00021,Jane Martinez,Claims,2024-01-30 12:44:22.940947,Prior Auth,4.679331778839001
AGT00022,Emily Rodriguez,Provider Network,2024-10-30 07:24:40.940947,Prior Auth,3.93620057180392
AGT00023,David Rodriguez,Provider Network,2021-05-18 04:17:53.940947,Prior Auth,4.453726061529737
AGT00024,James Martinez,General Support,2024-03-25 04:42:01.940947,Benefits Verification,3.9503440722885506
AGT00025,Sarah Davis,Benefits,2024-04-02 17:59:05.940947,ID Cards,4.975149818847663
AGT00026,John Miller,General Support,2024-06-17 11:14:36.940947,Prior Auth,4.523170486366794
AGT00027,Lisa Jones,Claims,2022-03-28 19:41:30.940947,Prior Auth,3.712459638706098
AGT00028,Michael Jones,Provider Network,2024-01-07 09:45:45.940947,Benefits Verification,3.6921598886577183
AGT00029,Jane Garcia,Authorization,2024-01-20 14:03:11.940947,Prior Auth,4.336750159206078
AGT00030,David Jones,Benefits,2024-03-18 14:47:58.940947,ID Cards,4.3275726744466105
AGT00031,John Johnson,Provider Network,2023-09-25 18:07:02.940947,ID Cards,4.547163049902408
AGT00032,James Jones,Provider Network,2021-03-16 01:53:22.940947,Benefits Verification,3.781060418144241
AGT00033,John Miller,Benefits,2022-11-16 08:10:20.940947,Claims Denials,4.262592602549583
AGT00034,Lisa Johnson,General Support,2021-07-30 19:10:20.940947,Claims Denials,3.665475678022222
AGT00035,John Jones,Benefits,2021-10-07 03:37:46.940947,Prior Auth,3.9758551754161267
AGT00036,Lisa Garcia,Claims,2022-08-06 09:27:48.940947,Claims Denials,4.197316924825749
AGT00037,John Williams,Authorization,2021-08-31 18:24:29.940947,Provider Search,4.093304665818032
AGT00038,Michael Brown,Provider Network,2022-08-24 01:09:10.940947,Benefits Verification,3.975341661484127
AGT00039,David Miller,General Support,2022-08-14 11:05:54.940947,ID Cards,4.5227586990006685
AGT00040,Jane Davis,General Support,2022-04-05 00:18:04.940947,General Inquiry,3.649210799595435
AGT00041,Jane Williams,Authorization,2022-12-18 19:59:05.940947,ID Cards,3.7562740364199136
AGT00042,Maria Smith,Provider Network,2024-11-16 23:24:57.940947,Benefits Verification,3.945925716012245
AGT00043,James Johnson,Claims,2025-07-08 04:58:32.940947,Provider Search,4.343361815248068
AGT00044,James Smith,Provider Network,2022-09-15 08:37:11.940947,Provider Search,3.925555352356524
AGT00045,Robert Garcia,General Support,2025-05-28 15:52:56.940947,Prior Auth,4.846065048993559
AGT00046,Lisa Miller,General Support,2023-05-11 03:41:41.940947,ID Cards,4.846259378188636
AGT00047,Maria Johnson,General Support,2021-01-09 20:50:34.940947,Claims Denials,4.7508126355130305
AGT00048,David Brown,Claims,2025-03-07 01:44:11.940947,Claims Denials,3.585711124983488
AGT00049,Emily Williams,Claims,2021-08-09 08:18:03.940947,ID Cards,4.4731696715512435
AGT00050,Maria Brown,Benefits,2021-07-15 11:59:07.940947,Claims Denials,4.708103526031157
AGT00051,Sarah Davis,Benefits,2021-01-23 05:56:11.940947,Benefits Verification,3.935237681479056
AGT00052,James Brown,Benefits,2024-10-05 09:40:27.940947,Claims Denials,4.083213019193769
AGT00053,Robert Williams,Authorization,2023-05-05 13:20:33.940947,Prior Auth,4.72855032511051
AGT00054,Jane Smith,General Support,2024-10-21 17:51:39.940947,Claims Denials,3.5776567695858454
AGT00055,Michael Johnson,General Support,2025-06-30 08:34:39.940947,ID Cards,3.8258080923906577
AGT00056,Lisa Davis,Claims,2023-01-09 05:52:40.940947,Provider Search,4.810696403054228
AGT00057,Jane Rodriguez,General Support,2020-12-21 00:17:59.940947,Benefits Verification,3.699822131270947
AGT00058,Sarah Smith,Provider Network,2023-08-04 02:31:24.940947,General Inquiry,4.745941009604095
AGT00059,Jane Davis,Claims,2024-06-25 14:36:56.940947,Prior Auth,4.2882838785427415
AGT00060,Sarah Davis,Authorization,2023-06-06 07:24:45.940947,General Inquiry,3.5043502782858242
AGT00061,Maria Garcia,General Support,2022-04-13 13:22:22.940947,Prior Auth,4.405525326060903
AGT00062,Emily Williams,General Support,2024-02-20 09:00:36.940947,Provider Search,4.721099533015139
AGT00063,James Davis,Claims,2021-10-02 05:31:12.940947,Benefits Verification,4.324860824074599
AGT00064,Robert Johnson,Claims,2023-11-01 22:51:07.940947,Prior Auth,3.7651526044567007
AGT00065,Maria Williams,General Support,2024-06-28 10:14:41.940947,Benefits Verification,4.3960788638034884
AGT00066,John Martinez,General Support,2025-09-19 13:37:35.940947,Provider Search,4.34754591756822
AGT00067,Michael Williams,Provider Network,2023-03-10 01:28:26.940947,Claims Denials,4.894361867685389
AGT00068,John Jones,Benefits,2023-11-11 16:11:10.940947,Benefits Verification,3.6508297592708
AGT00069,David Smith,Authorization,2024-12-16 10:23:08.940947,ID Cards,4.951890240492194
AGT00070,James Miller,Provider Network,2023-07-05 14:53:46.940947,ID Cards,4.429903404705805
AGT00071,David Johnson,Claims,2022-05-28 17:07:38.940947,Provider Search,4.4129610749246595
AGT00072,Michael Johnson,Benefits,2023-12-26 19:29:50.940947,Provider Search,4.796191282888201
AGT00073,James Williams,Claims,2022-04-11 00:55:56.940947,General Inquiry,3.6207342684066948
AGT00074,Sarah Miller,Authorization,2025-02-26 21:43:23.940947,Prior Auth,4.836002795131993
AGT00075,Lisa Johnson,Claims,2024-05-24 02:17:21.940947,Prior Auth,4.885698820680543
AGT00076,Robert Johnson,Benefits,2023-02-07 19:14:02.940947,Benefits Verification,3.696796337343455
AGT00077,James Jones,General Support,2022-04-14 08:48:20.940947,Provider Search,4.746349102403166
AGT00078,Emily Davis,Claims,2023-12-17 08:46:15.940947,Provider Search,4.42224541291784
AGT00079,Lisa Davis,Claims,2023-09-04 22:07:05.940947,Prior Auth,4.507469826400246
AGT00080,John Jones,General Support,2021-09-29 02:17:05.940947,Provider Search,4.466525821763397
AGT00081,Sarah Davis,Authorization,2024-04-04 19:14:16.940947,Provider Search,3.896522545453514
AGT00082,Lisa Smith,Claims,2022-01-28 15:39:34.940947,Prior Auth,3.9087901446217104
AGT00083,Sarah Johnson,General Support,2022-11-03 20:38:26.940947,General Inquiry,3.5676864474828327
AGT00084,Jane Rodriguez,Benefits,2021-04-26 20:22:07.940947,General Inquiry,3.5397568985945242
AGT00085,John Rodriguez,Benefits,2023-03-19 05:47:22.940947,ID Cards,4.709045335405755
AGT00086,David Rodriguez,Claims,2025-08-10 09:02:05.940947,Claims Denials,3.7153861031043025
AGT00087,David Miller,General Support,2022-09-29 19:17:23.940947,Benefits Verification,3.9028813064756624
AGT00088,Jane Miller,Benefits,2023-08-08 09:47:27.940947,Benefits Verification,4.074359790417316
AGT00089,John Williams,Authorization,2021-02-24 14:00:08.940947,Prior Auth,3.686467501876043
AGT00090,Michael Rodriguez,General Support,2022-04-24 00:36:55.940947,Prior Auth,4.295880178279071
AGT00091,Jane Brown,Provider Network,2024-04-10 15:59:31.940947,General Inquiry,4.640395251106103
AGT00092,Jane Miller,Authorization,2023-10-03 19:42:49.940947,Prior Auth,3.7166828118516064
AGT00093,Emily Rodriguez,Claims,2020-12-01 01:54:54.940947,Claims Denials,4.64223234834205
AGT00094,Sarah Miller,Authorization,2020-11-14 16:25:36.940947,ID Cards,4.863286358935658
AGT00095,Emily Johnson,Claims,2024-04-07 23:36:37.940947,General Inquiry,4.301099682703861
AGT00096,Maria Davis,Claims,2022-10-27 11:42:34.940947,Provider Search,4.268338980300271
AGT00097,John Brown,General Support,2024-10-28 20:48:31.940947,Claims Denials,4.249066056660094
AGT00098,Sarah Rodriguez,Claims,2021-05-26 01:02:31.940947,ID Cards,4.218576679864931
AGT00099,Sarah Rodriguez,General Support,2024-12-07 15:02:57.940947,General Inquiry,4.002965566592007
AGT00100,Sarah Jones,Benefits,2024-09-12 13:21:08.940947,ID Cards,4.522083850853566
AGT00101,Sarah Johnson,General Support,2023-12-03 17:26:31.940947,Provider Search,4.62879967270487
AGT00102,David Jones,General Support,2020-11-04 22:49:45.940947,General Inquiry,4.913845992909614
AGT00103,Lisa Brown,Benefits,2024-02-02 04:15:23.940947,ID Cards,4.953304891343579
AGT00104,Maria Smith,Authorization,2025-04-12 15:18:51.940947,ID Cards,3.8920527689839983
AGT00105,Lisa Martinez,Benefits,2020-11-24 02:57:02.940947,Benefits Verification,4.293603283618305
AGT00106,Michael Davis,Provider Network,2023-08-20 09:12:40.940947,General Inquiry,3.830535910170042
AGT00107,Sarah Miller,Benefits,2025-04-16 04:24:24.940947,Prior Auth,4.445209442712465
AGT00108,Maria Brown,Benefits,2022-09-04 23:18:49.940947,Claims Denials,4.298424123181813
AGT00109,Robert Jones,Authorization,2023-12-31 05:32:35.940947,Prior Auth,4.905299100078561
AGT00110,Sarah Martinez,Authorization,2024-11-19 20:54:48.940947,Prior Auth,3.8718844263143017
AGT00111,David Garcia,Claims,2024-08-13 07:09:16.940947,ID Cards,3.5299272505500694
AGT00112,Sarah Johnson,Authorization,2025-01-11 11:20:42.940947,General Inquiry,4.712640142689437
AGT00113,Jane Jones,Benefits,2023-09-28 20:33:55.940947,Claims Denials,4.309594255427367
AGT00114,James Miller,Claims,2021-05-20 23:05:31.940947,Prior Auth,3.7287920156044043
AGT00115,Emily Jones,Claims,2021-10-27 01:18:03.940947,Prior Auth,4.9955122999115815
AGT00116,Jane Johnson,Benefits,2022-10-25 05:22:57.940947,Benefits Verification,3.6258364495688746
AGT00117,Lisa Smith,Claims,2023-11-28 02:14:46.940947,General Inquiry,3.7176151850959243
AGT00118,Maria Martinez,Provider Network,2023-12-23 09:22:33.940947,Provider Search,4.72471806790603
AGT00119,Jane Martinez,General Support,2021-11-17 11:26:39.940947,Benefits Verification,4.3001079310988075
AGT00120,James Smith,Authorization,2021-09-23 07:45:28.940947,Claims Denials,4.843687404685484
