provider_id,provider_name,specialty,network_status,last_verified_date,accepting_patients,address,phone
PRV000001,Dr. William Harris MD,Primary Care,In-Network,2025-06-23 09:23:58.940947,True,"3339 Park St, Chicago, MN 55877",(521) 908-2108
PRV000002,Dr. Sarah Anderson MD,Cardiology,In-Network,2025-05-27 10:00:00.940947,True,"8521 Main St, Minneapolis, MN 55988",(844) 373-7033
PRV000003,Dr. Jennifer Thomas MD,Cardiology,Out-of-Network,2025-07-05 21:41:41.940947,False,"2161 Main St, Denver, MN 55696",(960) 684-1713
PRV000004,Dr. Sarah Harris MD,Oncology,In-Network,2025-08-03 04:18:58.940947,True,"6362 Oak St, Minneapolis, MN 55214",(974) 751-2780
PRV000005,Dr. Patricia Anderson MD,Cardiology,In-Network,2025-08-20 06:17:18.940947,True,"1349 Park St, Seattle, MN 55671",(225) 706-2751
PRV000006,Dr. James White MD,Pediatrics,Out-of-Network,2025-10-10 22:11:14.940947,False,"4381 Main St, Minneapolis, MN 55511",(445) 256-8411
PRV000007,Dr. Robert Anderson MD,Dermatology,Out-of-Network,2025-08-30 07:09:13.940947,True,"5871 Cedar St, Dallas, MN 55897",(343) 200-4343
PRV000008,Dr. James Thomas MD,Primary Care,Pending Verification,2025-10-27 14:24:51.940947,True,"4184 Park St, Boston, MN 55286",(388) 275-2459
PRV000009,Dr. Sarah Harris MD,Orthopedics,In-Network,2025-10-04 08:28:03.940947,True,"4477 Cedar St, Chicago, MN 55060",(861) 389-4443
PRV000010,Dr. Jennifer Harris MD,Oncology,In-Network,2025-09-19 13:20:58.940947,True,"8237 Oak St, Boston, MN 55792",(867) 459-5942
PRV000011,Dr. Linda Thomas MD,Dermatology,In-Network,2025-08-11 10:09:28.940947,True,"4989 Main St, Denver, MN 55493",(270) 514-9167
PRV000012,Dr. Robert Garcia MD,Pediatrics,In-Network,2025-10-14 03:06:37.940947,True,"6519 Cedar St, Denver, MN 55744",(643) 284-1590
PRV000013,Dr. Sarah Harris MD,Internal Medicine,Out-of-Network,2025-07-06 08:01:43.940947,True,"8950 Main St, Chicago, MN 55543",(569) 627-1177
PRV000014,Dr. Robert Garcia MD,Neurology,Out-of-Network,2025-07-31 16:34:33.940947,True,"8144 Cedar St, Seattle, MN 55460",(558) 380-3344
PRV000015,Dr. Linda Garcia MD,Oncology,In-Network,2025-08-17 14:13:35.940947,True,"8988 Main St, Dallas, MN 55561",(488) 817-8791
PRV000016,Dr. Sarah Harris MD,Oncology,In-Network,2025-08-15 06:54:48.940947,True,"9484 Cedar St, Minneapolis, MN 55110",(663) 330-3835
PRV000017,Dr. Sarah Jackson MD,Neurology,Out-of-Network,2025-08-28 01:32:20.940947,False,"3860 Main St, Atlanta, MN 55010",(984) 846-1109
PRV000018,Dr. Linda Martin MD,Primary Care,In-Network,2025-08-12 23:51:59.940947,True,"4586 Main St, Chicago, MN 55238",(582) 302-4291
PRV000019,Dr. Jennifer Garcia MD,Oncology,In-Network,2025-10-04 14:09:17.940947,False,"4843 Cedar St, Dallas, MN 55292",(750) 677-8943
PRV000020,Dr. Patricia Anderson MD,Neurology,Pending Verification,2025-05-16 05:41:07.940947,True,"7115 Maple St, Phoenix, MN 55685",(722) 339-5197
PRV000021,Dr. Jennifer Harris MD,Pediatrics,In-Network,2025-08-08 20:15:00.940947,True,"1973 Oak St, Minneapolis, MN 55779",(703) 773-6666
PRV000022,Dr. Robert Jackson MD,Psychiatry,In-Network,2025-08-13 11:52:06.940947,False,"3602 Main St, Boston, MN 55394",(463) 322-1267
PRV000023,Dr. Linda Jackson MD,Primary Care,Pending Verification,2025-07-18 02:06:03.940947,True,"8587 Cedar St, Atlanta, MN 55787",(393) 555-2659
PRV000024,Dr. Jennifer Garcia MD,Endocrinology,Pending Verification,2025-10-21 02:29:38.940947,True,"1265 Maple St, Minneapolis, MN 55558",(511) 332-8957
PRV000025,Dr. James Harris MD,Orthopedics,In-Network,2025-07-27 08:25:13.940947,False,"6008 Main St, Boston, MN 55118",(796) 683-1654
PRV000026,Dr. Robert Thomas MD,Oncology,In-Network,2025-06-01 06:51:33.940947,False,"9070 Maple St, Phoenix, MN 55760",(204) 580-1324
PRV000027,Dr. Sarah Harris MD,Cardiology,In-Network,2025-10-17 03:33:28.940947,True,"3833 Main St, Atlanta, MN 55251",(688) 676-9097
PRV000028,Dr. Sarah White MD,Neurology,In-Network,2025-06-24 21:13:29.940947,True,"5828 Oak St, Atlanta, MN 55866",(752) 425-5726
PRV000029,Dr. Sarah Jackson MD,Orthopedics,In-Network,2025-09-16 00:37:27.940947,True,"3447 Oak St, Dallas, MN 55583",(677) 496-6074
PRV000030,Dr. William Thompson MD,Oncology,Pending Verification,2025-05-19 08:58:41.940947,False,"2710 Cedar St, Seattle, MN 55086",(818) 676-3288
